,Playlist Name,Description,Tracks,Followers,URL
321,1960s Nostalgia,"Those were the days, this was the music...",67,18225,https://open.spotify.com/playlist/2NFOUmp2wyR5CrXtKDkUkB
322,Breakup Blues,"From denial and pleading to anger and acceptance, this genre-blending playlist will carry you through each stage of your breakup blues.",44,213,https://open.spotify.com/playlist/1o2bTwofazfzElA5mXGf2t
323,I Hate My Job.,We've all been there. This playlist can help. Just don't let your boss catch you listening....,38,2386,https://open.spotify.com/playlist/6cdV0hVW2suJaMOxzwE46S
324,Instrumental Rock,"Rock your workday lyric free with classic rock favorites, meditative heavy metal, and art rock wonders.",42,31191,https://open.spotify.com/playlist/2uhsnHgI4F2eFyvoMHY0GR
325,Avant Folk,"Despite their nomenclature defying eclecticism, these folk inspired artists share a collective penchant for welding experimentation with tradition.",45,261,https://open.spotify.com/playlist/2uVP1agvV5rba3MqLQ0pzy
326,This Is Miles Davis,The best tracks from the great Miles Davis.,75,185826,https://open.spotify.com/playlist/37i9dQZF1DX3BqHI5fuXWV
327,Office Offensive,"Job talk, work-life rants, office espionage, and more. [Warning: Explicit Content]",27,13868,https://open.spotify.com/playlist/37i9dQZF1DXdEXmWwCHnI5
328,Unsolicited Advice,Some advice is best taken with a pillar of salt. [Warning: Explicit Content],26,8567,https://open.spotify.com/playlist/37i9dQZF1DX8NZFqAdV1lo
329,The Perfect Crafternoon,"Soundtrack a perfect crafternoon spent scrapbooking, knitting, or working on projects with friends.",70,569,https://open.spotify.com/playlist/0BbcjurkvWrkWxKKLzcqIP
330,Jazz Meets Classical,"Where jazz meets classical, and classical meets jazz. Cover: Chick Corea",51,244629,https://open.spotify.com/playlist/37i9dQZF1DX2mmt7R81K2b
331,Comedy Top Tracks,Get to know some of the most loved comedians on Spotify with this collection of their top 5 tracks &amp; newest releases.,102,320834,https://open.spotify.com/playlist/37i9dQZF1DWSRoT7QRAibZ
332,20 Questions,"It's like that game you use to play when you were bored, only different. [Warning: Explicit Content]",20,7590,https://open.spotify.com/playlist/37i9dQZF1DX4b3CsyjLN6p
333,The Funny Thing About Football Is...,"Comedians weigh in on all things sports, football, and -of course- the Super Bowl.",34,7016,https://open.spotify.com/playlist/37i9dQZF1DWWsTBFM3ksVb
334,Women of Comedy,A collection of sessions from some of the best comedians of all time.,146,66641,https://open.spotify.com/playlist/37i9dQZF1DX9O8pzsnCkf6
